instrument,strike,plain_mid,micro,vwap3,our_mark_px,deribit_mark_px,diff_plain_mid,diff_micro,diff_vwap3,diff_our_mark_px,diff
BTC-23MAY25-95000-P,95000.0000,0.0390,0.0390,0.0391,0.0391,0.0392,-0.0002,-0.0002,-0.0001,-0.0001,-0.0001
BTC-23MAY25-96000-C,96000.0000,0.0270,0.0270,0.0271,0.0270,0.027,0.0000,0.0000,0.0001,0.0000,0.0000
BTC-23MAY25-96000-P,96000.0000,0.0452,0.0453,0.0451,0.0454,0.0453,-0.0001,-0.0000,-0.0002,0.0001,0.0001
BTC-23MAY25-97000-P,97000.0000,0.0518,0.0518,0.0521,0.0519,0.052,-0.0003,-0.0003,0.0001,-0.0001,-0.0001
BTC-23MAY25-97000-C,97000.0000,0.0230,0.0230,0.0231,0.0230,0.023,0.0000,0.0000,0.0001,0.0000,0.0000
BTC-23MAY25-98000-C,98000.0000,0.0195,0.0195,0.0198,0.0195,0.0196,-0.0001,-0.0001,0.0002,-0.0001,-0.0001
BTC-23MAY25-98000-P,98000.0000,0.0588,0.0588,0.0588,0.0591,0.0592,-0.0005,-0.0004,-0.0004,-0.0001,-0.0001
BTC-23MAY25-99000-P,99000.0000,0.0665,0.0665,0.0668,0.0670,0.0668,-0.0003,-0.0003,-0.0000,0.0002,0.0002
BTC-23MAY25-99000-C,99000.0000,0.0168,0.0168,0.0169,0.0168,0.0167,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-100000-C,100000.0000,0.0140,0.0140,0.0143,0.0140,0.0141,-0.0001,-0.0001,0.0002,-0.0001,-0.0001
BTC-23MAY25-100000-P,100000.0000,0.0912,0.0912,0.1047,0.1123,0.0749,0.0164,0.0164,0.0298,0.0374,0.0374
BTC-23MAY25-101000-C,101000.0000,0.0120,0.0120,0.0122,0.0120,0.012,0.0000,0.0000,0.0002,0.0000,0.0000
BTC-23MAY25-101000-P,101000.0000,0.0880,0.0880,0.1079,0.1211,0.0834,0.0046,0.0046,0.0245,0.0377,0.0377
BTC-23MAY25-102000-C,102000.0000,0.0102,0.0102,0.0103,0.0103,0.0101,0.0002,0.0002,0.0002,0.0002,0.0002
BTC-23MAY25-102000-P,102000.0000,0.0960,0.0960,0.1162,0.1304,0.0921,0.0039,0.0039,0.0241,0.0383,0.0383
BTC-23MAY25-103000-P,103000.0000,0.1048,0.1048,0.0911,0.1509,0.1012,0.0035,0.0035,-0.0101,0.0497,0.0497
BTC-23MAY25-103000-C,103000.0000,0.0088,0.0087,0.0088,0.0088,0.0086,0.0002,0.0001,0.0002,0.0002,0.0002
BTC-23MAY25-104000-P,104000.0000,0.1140,0.1140,0.1153,0.1765,0.1104,0.0036,0.0036,0.0049,0.0661,0.0661
BTC-23MAY25-104000-C,104000.0000,0.0072,0.0072,0.0075,0.0073,0.0073,-0.0001,-0.0001,0.0002,-0.0000,-0.0000
BTC-23MAY25-105000-P,105000.0000,0.1232,0.1233,0.1092,0.1718,0.12,0.0033,0.0033,-0.0107,0.0518,0.0518
BTC-23MAY25-105000-C,105000.0000,0.0062,0.0063,0.0064,0.0063,0.0062,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-106000-P,106000.0000,0.1327,0.1327,0.1327,0.1980,0.1297,0.0030,0.0030,0.0030,0.0683,0.0683
BTC-23MAY25-106000-C,106000.0000,0.0052,0.0052,0.0056,0.0053,0.0053,-0.0001,-0.0000,0.0003,-0.0000,-0.0000
BTC-23MAY25-108000-P,108000.0000,0.1528,0.1528,0.1528,0.2194,0.1495,0.0033,0.0033,0.0033,0.0699,0.0699
BTC-23MAY25-108000-C,108000.0000,0.0040,0.0040,0.0041,0.0040,0.0039,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-110000-C,110000.0000,0.0030,0.0030,0.0031,0.0030,0.0029,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-110000-P,110000.0000,0.1728,0.1727,0.1728,0.2397,0.1697,0.0031,0.0030,0.0031,0.0700,0.0700
BTC-23MAY25-115000-C,115000.0000,0.0016,0.0017,0.0015,0.0017,0.0015,0.0001,0.0002,0.0000,0.0002,0.0002
BTC-23MAY25-115000-P,115000.0000,0.2245,0.2245,0.2245,0.2906,0.2214,0.0031,0.0031,0.0031,0.0692,0.0692
BTC-23MAY25-120000-C,120000.0000,0.0009,0.0009,0.0010,0.0009,0.0008,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-120000-P,120000.0000,0.2768,0.2768,0.2768,0.3413,0.2737,0.0030,0.0030,0.0030,0.0676,0.0676
BTC-23MAY25-125000-C,125000.0000,0.0006,0.0006,0.0007,0.0006,0.0006,0.0000,0.0000,0.0001,0.0000,0.0000
BTC-23MAY25-125000-P,125000.0000,0.3293,0.3293,0.3293,0.3924,0.3265,0.0028,0.0028,0.0028,0.0659,0.0659
BTC-23MAY25-130000-C,130000.0000,0.0004,0.0004,0.0005,0.0005,0.0004,0.0000,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-130000-P,130000.0000,0.3825,0.3825,0.3825,0.4433,0.3794,0.0031,0.0031,0.0031,0.0639,0.0639
BTC-23MAY25-135000-C,135000.0000,0.0004,0.0004,0.0004,0.0004,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-135000-P,135000.0000,,,,0.5658,0.4323,,,,0.1335,0.1335
